Experiment 1,,,,,,,,,,,,,,,,,
Baseline,79.1,61.2,72.8,69.1,37.7,38.5,40.6,56.8,70.3,68.8,63.8,44.4,56.4,79.9,56.4,3.2,6.0
Difference,-1.4,0.1,-0.4,0.6,2.4,0.6,0.4,-2.9,-6.6,-10.1,-9.6,-3.8,0.5,-1.5,-2.3,0.7,-1.5
Visible,,,,,,,,,,,,,,,,,
Experiment 5,84.0,68.5,73.3,76.1,42.5,39.3,41.4,65.0,63.8,63.1,54.4,36.8,65.0,79.3,58.5,30.8,24.7
Baseline,86.1,73.1,73.5,76.2,40.2,38.7,40.9,69.3,70.6,72.1,64.6,39.6,65.1,80.6,60.8,25.1,30.7
Difference,-2.1,-4.5,-0.3,-0.1,2.3,0.6,0.5,-4.4,-6.8,-9.0,-10.1,-2.8,-0.1,-1.2,-2.3,5.7,-6.0
Not shown,,,,,,,,,,,,,,,,,
Experiment 5,0.0,57.8,0.0,35.0,13.3,3.9,0.2,43.4,63.9,48.9,45.1,46.6,2.9,72.4,12.6,0.0,0.0
Baseline,0.0,55.3,0.0,28.7,11.5,4.4,0.4,44.7,64.8,60.7,35.9,51.7,3.0,73.6,12.4,0.0,0.0
Difference,0.0,2.6,0.0,6.3,1.9,-0.4,-0.1,-1.3,-0.9,-11.9,9.2,-5.1,-0.1,-1.1,0.2,0.0,0.0
